permissions,mb_type,unit_id,addr,bit,name,type,related,default_value,boot_value
R,HR,36,67,,DisTempVolt,Analog,,20,22
R,HR,36,68,,DisTemp,Analog,,20,22
R,HR,36,,,,,,,
R,HR,36,69,,SucTempVolt,Analog,,20,22
R,HR,36,70,,SucTemp,Analog,,20,22
R,HR,36,,,,,,,
R,HR,36,71,,OilLevelVolt,Analog,,20,22
R,HR,36,72,,OilLevel,Analog,,20,22
R,HR,36,,,,,,,
R,HR,36,73,,DisPressCur,Analog,,20,22
R,HR,36,74,,DisPress,Analog,,20,22
R,HR,36,,,,,,,
R,HR,36,75,,SucPressCur,Analog,,20,22
R,HR,36,76,,SucPress,Analog,,20,22
R,HR,36,,,,,,,
R,HR,36,77,,CurrentVolt,Analog,,0,0
R,HR,36,78,,Current,Analog,,0,0
R,HR,36,,,,,,,
R,HR,36,79,,VoltageVolt,Analog,,20,22
R,HR,36,80,,Voltage,Analog,,20,22
R,HR,36,,,,,,,
R,HR,36,81,,WaitingSecs,Analog,,20,22
R,HR,36,82,,,Analog,,20,22
R,HR,36,,,,,,,
R,HR,36,83,,,,,,
R,HR,36,84,,,,,,
R,HR,36,,,,,,,
R,HR,36,85,,DPower_Lo,Analog,,22,22
R,HR,36,86,,DPower_Hi,Analog,,0,0
,,,,,,,,,
R,HR,36,87,,SR_appCRC,Analog,,,
R,HR,36,88,0,DisTempValid,Digital,,1,1
R,HR,36,88,1,SucTempValid,Digital,,0,0
R,HR,36,88,2,OilLevelValid,Digital,,0,0
R,HR,36,88,3,DisPressValid,Digital,,0,0
R,HR,36,88,4,SucPressValid,Digital,,1,0
R,HR,36,88,5,CurrentValid,Digital,,0,2
R,HR,36,88,6,VoltageValid,Digital,,0,0
R,HR,36,88,7,CompIntPerm,Digital,,0,2
R,HR,36,88,8,CompEnable,Digital,,0,0
R,HR,36,88,9,CompOnInterlocks,Digital,,,
R,HR,36,88,10,,,,,
R,HR,36,88,11,CompOn2minDelay,Digital,,0,0
R,HR,36,88,12,CompOnWaiting,Digital,,0,0
R,HR,36,88,13,CompOn,Digital,,1,0
R,HR,36,88,14,,,,,
R,HR,36,88,15,,,,,
,,,,,,,,,
R,HR,36,89,,SR_ErrorCode,Analog,,,
R,HR,36,90,0,,,,,
R,HR,36,90,1,DisTempOKLatch,Digital,,0,2
R,HR,36,90,2,DisTempOKLatchStatus,DigitalBlink,,0,0
R,HR,36,90,3,DisTempOKLatchNeedsReset,Digital,,1,0
R,HR,36,90,4,DisTempWarn,Digital,,0,0
R,HR,36,90,5,,,,,
R,HR,36,90,6,SucTempOKLatch,Digital,,1,0
R,HR,36,90,7,SucTempOKLatchStatus,DigitalBlink,,,
R,HR,36,90,8,SucTempOKLatchNeedsReset,Digital,,,
R,HR,36,90,9,,,,,
R,HR,36,90,10,,,,,
R,HR,36,90,11,OilLevelOKLatch,Digital,,0,0
R,HR,36,90,12,OilLevelOKLatchStatus,DigitalBlink,,0,0
R,HR,36,90,13,OilLevelOKLatchNeedsReset,Digital,,0,0
R,HR,36,90,14,,,,,
R,HR,36,90,15,,,,,
R,HR,36,,,,,,,
R,HR,36,92,0,DisPress6hourStartup,Digital,,0,0
R,HR,36,92,1,DisPressOKLatch,Digital,,0,0
R,HR,36,92,2,DisPressOKLatchStatus,DigitalBlink,,0,0
R,HR,36,92,3,DisPressOKLatchNeedsReset,Digital,,0,0
R,HR,36,92,4,DisPressWarn,Digital,,0,0
R,HR,36,92,5,,,,,
R,HR,36,92,6,SensorsValidLatch,Digital,,0,0
R,HR,36,92,7,SensorsValidLatchStatus,DigitalBlink,,1,0
R,HR,36,92,8,SensorsValidLatchNeedsReset,Digital,,0,1
R,HR,36,92,9,CurrentSensorErrorLatch,Digital,,0,0
R,HR,36,92,10,,,,,
R,HR,36,92,11,PowerOKLatch,Digital,,0,1
R,HR,36,92,12,PowerOKLatchStatus,DigitalBlink,,0,0
